Timestamp,1.เนื้อลิปสติกที่คุณเลือกให้เข้ากับลุคการแต่งหน้า,2.โทนสีลิปสติกที่คุณเลือกใช้,4.ราคาของลิปสติกตามเนื้อลิปที่เลือกด้านบน ,1.ช่วงอายุของคุณ,2.โทนสีผิวของคุณ,3.ลักษณะผิวริมฝีปากของคุณ,4.มีปัญหาปากแห้ง แตก หรือเป็นขุยหรือไม่,2.สไตล์การแต่งหน้าของคุณกับเนื้อลิปสติกที่เลือกใช้ด้านบน,1.สไตล์ของเสื้อผ้าที่คุณเลือกใส่ให้เข้ากับสีลิปสติก,6.จากเนื้อลิปสติกที่คุณเลือกใช้ คุณใช้เพื่อออกไปทำกิจกรรมใด,7.ช่วงเวลาที่คุณใช้ทำกิจกรรมดังกล่าว,3.ความถี่ในการเติมลิปสติกโดยประมาณระหว่างวันของคุณ,4.การใช้สีในการทาลิปสติกของคุณ,3.ความมันของเนื้อลิปสติกที่คุณเลือกใช้,5.ลักษณะการทาลิปสติกของคุณ
2/25/2021 17:10:04,ลิปกลอสและลิปทินส์,โทนสีแดง,201-500,น้อยกว่า 15,ผิวสองสี,ริมฝีปากสีคล้ำ,มี,สไตล์ธรรมชาติ,สตรีท,เพื่อไปเรียน,กลางคืน,น้อย (ไม่เติมระหว่างวัน),ผสมสี,5,ทาแบบเบลอขอบปาก
2/25/2021 17:10:25,ลิปเนื้อแมตต์,โทนสีส้ม,501-800,25 - 35,ผิวสองสี,ริมฝีปากสีคล้ำ,ไม่มี,สไตล์ธรรมชาติ,วินเทจ,เพื่อไปเที่ยว,กลางวัน,ปานกลาง (1-2 ครั้ง),สีเดียว,1,ทาแบบเต็มปาก
2/25/2021 18:19:20,ลิปเนื้อแมตต์,โทนน้ำตาล,น้อยกว่า 200,15 - 24,ผิวสองสี,ริมฝีปากสีคล้ำ,มี,สไตล์ธรรมชาติ,วินเทจ,เพื่อไปออกงานสำคัญ,กลางวัน,ปานกลาง (1-2 ครั้ง),สีเดียว,3,ทาแบบเบลอขอบปาก
2/25/2021 19:09:46,ลิควิดลิปสติก หรือ ลิปจิ้มจุ่ม,โทนสีนู้ด,น้อยกว่า 200,มากกว่า 35,ผิวขาวเหลือง,ริมฝีปากซีด,มี,สไตล์ธรรมชาติ,วินเทจ,เพื่อไปทำงาน,กลางวัน,น้อย (ไม่เติมระหว่างวัน),สีเดียว,1,ทาแบบเต็มปาก
2/25/2021 19:10:34,ลิปเนื้อซาตินและเนื้อเชียร์,โทนสีนู้ด,น้อยกว่า 200,25 - 35,ผิวขาวเหลือง,ริมฝีปากอมชมพู,ไม่มี,สไตล์เกาหลี,มินิมอล,เพื่อไปเที่ยว,กลางวัน,น้อย (ไม่เติมระหว่างวัน),ผสมสี,3,ทาแบบเต็มปาก
2/25/2021 19:11:01,ลิปเนื้อซาตินและเนื้อเชียร์,โทนสีนู้ด,น้อยกว่า 200,25 - 35,ผิวขาวเหลือง,ริมฝีปากอมชมพู,มี,สไตล์ธรรมชาติ,วินเทจ,เพื่อไปออกงานสำคัญ,กลางวัน,ปานกลาง (1-2 ครั้ง),สีเดียว,3,ทาแบบเต็มปาก
2/25/2021 19:11:15,ลิควิดลิปสติก หรือ ลิปจิ้มจุ่ม,โทนสีชมพู,201-500,25 - 35,ผิวขาวเหลือง,ริมฝีปากอมชมพู,มี,สไตล์ธรรมชาติ,มินิมอล,เพื่อไปทำงาน,กลางวัน,น้อย (ไม่เติมระหว่างวัน),ผสมสี,2,ทาแบบเต็มปาก
2/25/2021 19:11:47,ลิปเนื้อซาตินและเนื้อเชียร์,โทนสีนู้ด,น้อยกว่า 200,25 - 35,ผิวขาวเหลือง,ริมฝีปากอมชมพู,มี,สไตล์ธรรมชาติ,วินเทจ,เพื่อไปออกงานสำคัญ,กลางวัน,ปานกลาง (1-2 ครั้ง),สีเดียว,3,ทาแบบเต็มปาก
2/25/2021 19:11:52,ลิปเนื้อซาตินและเนื้อเชียร์,โทนสีนู้ด,น้อยกว่า 200,25 - 35,ผิวขาวเหลือง,ริมฝีปากอมชมพู,มี,สไตล์ธรรมชาติ,วินเทจ,เพื่อไปออกงานสำคัญ,กลางวัน,ปานกลาง (1-2 ครั้ง),สีเดียว,3,ทาแบบเต็มปาก
2/25/2021 19:12:45,ลิควิดลิปสติก หรือ ลิปจิ้มจุ่ม,โทนสีแดง,201-500,15 - 24,ผิวขาวอมชมพู,ริมฝีปากซีด,ไม่มี,สไตล์เกาหลี,เกาหลี,เพื่อไปเที่ยว,กลางวัน,ปานกลาง (1-2 ครั้ง),สีเดียว,2,ทาแบบเต็มปาก
2/25/2021 19:13:26,ลิปเนื้อครีม,โทนสีแดง,น้อยกว่า 200,25 - 35,ผิวขาวอมชมพู,ริมฝีปากซีด,มี,สไตล์ธรรมชาติ,สตรีท,เพื่อไปออกงานสำคัญ,กลางวัน,ปานกลาง (1-2 ครั้ง),ผสมสี,3,ทาแบบเต็มปาก
2/25/2021 19:13:48,ลิปเนื้อแมตต์,โทนสีแดง,201-500,25 - 35,ผิวแทน,ริมฝีปากสีคล้ำ,มี,สไตล์ธรรมชาติ,สตรีท,เพื่อไปเที่ยว,กลางวัน,น้อย (ไม่เติมระหว่างวัน),สีเดียว,2,ทาแบบเต็มปาก
2/25/2021 19:14:23,ลิปเนื้อแมตต์,โทนสีนู้ด,201-500,25 - 35,ผิวขาวเหลือง,ริมฝีปากอมชมพู,มี,สไตล์ธรรมชาติ,สตรีท,เพื่อไปออกงานสำคัญ,กลางวัน,ปานกลาง (1-2 ครั้ง),สีเดียว,2,ทาแบบเต็มปาก
2/25/2021 19:15:54,ลิควิดลิปสติก หรือ ลิปจิ้มจุ่ม,โทนน้ำตาล,201-500,15 - 24,ผิวสองสี,ริมฝีปากสีคล้ำ,ไม่มี,สไตล์ธรรมชาติ,วินเทจ,เพื่อไปเที่ยว,กลางวัน,ปานกลาง (1-2 ครั้ง),สีเดียว,4,ทาแบบเบลอขอบปาก
2/25/2021 19:17:45,ลิควิดลิปสติก หรือ ลิปจิ้มจุ่ม,โทนสีชมพู,201-500,25 - 35,ผิวขาวเหลือง,ริมฝีปากสีคล้ำ,ไม่มี,สไตล์เกาหลี,สตรีท,เพื่อไปทำงาน,กลางวัน,น้อย (ไม่เติมระหว่างวัน),ผสมสี,3,ทาแบบเต็มปาก
2/25/2021 19:18:11,ลิปเนื้อแมตต์,โทนสีแดง,201-500,25 - 35,ผิวขาวเหลือง,ริมฝีปากสีคล้ำ,ไม่มี,สไตล์ฝรั่ง,สตรีท,เพื่อไปทำงาน,กลางวัน,น้อย (ไม่เติมระหว่างวัน),ผสมสี,1,ทาแบบเต็มปาก
2/25/2021 19:18:34,ลิควิดลิปสติก หรือ ลิปจิ้มจุ่ม,โทนสีส้ม,น้อยกว่า 200,25 - 35,ผิวสองสี,ริมฝีปากซีด,มี,สไตล์ธรรมชาติ,สตรีท,เพื่อไปทำงาน,กลางวัน,ปานกลาง (1-2 ครั้ง),ผสมสี,1,ทาแบบเกินขอบปาก
